age,education,balance,duration
40,tertiary,2611,637
54,tertiary,651,121
38,secondary,56,238
35,secondary,561,95
60,primary,1412,127
43,tertiary,-496,420
56,primary,161,121
32,tertiary,578,29
45,secondary,-847,312
38,unknown,0,233
27,primary,202,41
43,secondary,-17,76
29,secondary,2,96
47,secondary,290,1352
42,primary,4279,98
60,secondary,-330,69
36,secondary,420,58
37,secondary,-252,438
30,secondary,32,163
34,tertiary,1703,153
37,tertiary,0,139
25,secondary,0,135
36,secondary,22,77
47,secondary,1715,211
51,secondary,-113,314
25,tertiary,38,278
34,secondary,1,344
27,tertiary,1,152
33,tertiary,30,1077
32,tertiary,553,72
37,secondary,-59,70
42,secondary,1406,178
46,secondary,942,425
30,secondary,44,90
40,tertiary,121,80
42,secondary,-263,307
27,secondary,512,259
26,secondary,47,161
33,tertiary,1257,66
29,secondary,-496,422
37,secondary,0,185
40,secondary,1305,255
29,secondary,210,518
43,tertiary,788,168
34,tertiary,27,255
36,secondary,399,139
27,secondary,10,527
36,tertiary,81,560
39,secondary,-378,132
33,tertiary,85,702
34,tertiary,0,81
28,secondary,0,188
32,tertiary,259,407
43,secondary,2,254
42,secondary,2239,176
37,tertiary,0,89
47,tertiary,109,268
52,secondary,0,150
44,secondary,196,367
60,primary,-137,152
33,secondary,241,490
38,secondary,0,1545
37,tertiary,2089,40
42,tertiary,1336,65
31,tertiary,216,47
53,secondary,1103,274
37,primary,0,118
47,secondary,-504,108
32,tertiary,0,520
35,tertiary,8,56
47,tertiary,228,89
27,secondary,-790,273
29,primary,-235,189
37,secondary,145,74
36,tertiary,322,485
31,secondary,80,271
29,secondary,3,115
51,secondary,194,71
48,secondary,-379,599
34,secondary,418,247
51,primary,0,215
30,secondary,-346,88
30,secondary,192,423
29,tertiary,652,285
37,secondary,121,22
53,secondary,0,200
49,secondary,136,246
40,tertiary,268,352
48,primary,380,188
27,tertiary,3,506
34,secondary,0,136
40,secondary,0,117
26,secondary,7,188
32,tertiary,0,455
33,tertiary,0,65
45,secondary,1118,27
37,secondary,0,272
29,tertiary,89,120
56,secondary,345,605
28,tertiary,476,630
32,tertiary,283,151
30,tertiary,14,90
54,primary,167,106
57,secondary,0,127
35,tertiary,328,654
26,primary,399,1288
53,secondary,0,59
60,primary,0,124
28,secondary,1285,29
55,tertiary,1730,156
45,secondary,0,73
47,tertiary,-295,333
30,tertiary,77,267
25,secondary,18,129
37,secondary,54,106
33,secondary,252,270
49,primary,247,283
33,secondary,1924,81
44,tertiary,-199,261
55,tertiary,255,114
44,tertiary,342,70
36,tertiary,0,99
50,secondary,-1,139
41,tertiary,145,1833
26,tertiary,877,611
42,tertiary,621,87
31,tertiary,78,369
36,tertiary,0,62
43,primary,0,431
52,tertiary,269,86
30,tertiary,3,67
30,tertiary,676,214
26,secondary,1842,611
34,secondary,201,257
26,primary,5116,246
30,secondary,311,654
50,secondary,175,112
59,primary,5,204
52,secondary,5275,1029
43,tertiary,3163,211
52,secondary,83,135
32,tertiary,143,115
28,primary,413,443
33,tertiary,149,153
43,primary,2309,578
58,tertiary,2183,209
41,secondary,2993,24
35,secondary,162,675
41,unknown,465,1508
29,unknown,0,338
31,secondary,1139,101
36,secondary,189,632
32,tertiary,423,212
27,tertiary,9965,662
28,tertiary,187,263
32,secondary,57,50
57,secondary,272,563
27,secondary,-247,264
51,secondary,0,124
55,tertiary,3092,165
52,secondary,105,275
55,secondary,-404,502
28,secondary,47,405
39,tertiary,-124,182
45,secondary,644,92
26,secondary,141,128
50,secondary,0,160
27,secondary,285,139
43,secondary,87,183
35,secondary,33,181
48,primary,204,134
33,secondary,3444,487
41,tertiary,9,82
34,tertiary,1790,681
27,primary,237,283
26,secondary,-525,417
27,secondary,-1,60
39,tertiary,127,77
37,tertiary,347,282
50,secondary,2013,226
60,secondary,1339,137
30,secondary,537,661
57,secondary,14,445
32,tertiary,964,370
26,secondary,321,242
34,secondary,2551,1408
58,secondary,74,514
54,tertiary,122,126
51,tertiary,0,176
35,secondary,144,163
34,secondary,1,483
31,tertiary,0,392
39,secondary,651,608
43,secondary,957,145
50,primary,34,160
35,tertiary,219,160
31,primary,-81,261
36,tertiary,348,307
57,unknown,975,236
29,secondary,0,403
34,tertiary,228,387
29,secondary,-247,211
28,secondary,751,598
34,primary,197,181
53,primary,3126,237
45,secondary,2926,477
31,tertiary,4331,318
33,secondary,474,400
36,secondary,-301,312
44,unknown,722,269
44,primary,440,249
59,primary,0,186
26,secondary,0,240
42,secondary,33,158
52,tertiary,4306,107
44,primary,318,287
33,secondary,-130,124
50,secondary,-556,270
28,tertiary,968,470
51,tertiary,1634,168
37,secondary,2991,139
35,secondary,507,560
40,tertiary,995,96
43,tertiary,409,100
30,secondary,791,137
29,secondary,0,55
26,secondary,-379,1237
52,secondary,-588,81
54,secondary,-369,246
28,secondary,143,44
38,secondary,-327,345
27,secondary,2,493
35,tertiary,-196,216
33,secondary,920,187
31,secondary,84,580
50,primary,94,184
26,secondary,-38,443
61,secondary,50,213
49,secondary,635,400
26,tertiary,238,156
34,primary,0,149
56,tertiary,693,89
32,secondary,476,503
32,tertiary,663,62
60,secondary,-223,282
43,primary,189,97
27,secondary,113,39
36,secondary,286,167
32,secondary,268,102
37,secondary,1396,199
26,tertiary,97,233
46,secondary,209,126
59,secondary,786,44
34,secondary,-199,78
59,secondary,292,246
34,tertiary,184,203
25,secondary,7,209
50,secondary,-779,112
29,secondary,1432,728
31,tertiary,322,249
31,secondary,-241,1287
31,secondary,1981,437
26,secondary,1,36
45,secondary,2071,1148
61,secondary,479,464
39,secondary,0,864
42,secondary,41,188
32,secondary,4790,314
25,unknown,349,1037
34,secondary,1650,351
30,secondary,1700,279
43,secondary,1119,119
41,tertiary,336,162
27,primary,300,209
46,secondary,783,136
46,secondary,-119,151
35,secondary,543,624
42,primary,-119,167
48,tertiary,113,38
27,secondary,148,203
37,secondary,1110,802
34,secondary,-7,143
28,tertiary,2474,262
35,secondary,1031,254
58,primary,1310,1226
54,secondary,9,113
26,secondary,288,714
53,secondary,223,534
27,tertiary,148,174
34,secondary,246,532
26,secondary,209,319
27,secondary,0,1608
52,secondary,192,61
48,secondary,485,84
33,secondary,0,85
36,tertiary,119,127
25,secondary,0,487
28,tertiary,466,170
53,unknown,527,71
45,tertiary,2100,285
56,secondary,205,442
50,secondary,2362,59
30,secondary,98,100
32,secondary,1539,218
39,secondary,1029,133
31,primary,302,40
44,primary,-89,187
29,secondary,-522,89
30,tertiary,126,75
48,tertiary,4,70
32,primary,354,284
25,secondary,2228,754
42,tertiary,176,123
57,secondary,1741,364
49,secondary,702,194
50,secondary,294,73
29,tertiary,48,164
45,secondary,295,92
49,secondary,-214,73
46,secondary,0,122
27,secondary,2526,500
46,tertiary,99,569
40,secondary,-81,186
51,secondary,-709,38
50,primary,0,137
37,tertiary,1066,181
37,secondary,658,175
41,tertiary,982,105
46,tertiary,2166,870
59,secondary,2342,226
33,tertiary,370,141
49,secondary,273,58
50,secondary,3263,115
40,primary,630,177
34,secondary,0,429
34,secondary,804,256
26,secondary,0,157
41,tertiary,0,285
41,secondary,0,107
50,tertiary,19,205
39,secondary,81,438
38,tertiary,539,161
60,primary,0,40
38,tertiary,1952,237
26,tertiary,3,106
57,primary,19,158
41,tertiary,-98,244
53,secondary,913,730
34,secondary,-451,498
41,secondary,1638,327
56,tertiary,2370,376
41,unknown,-391,137
46,primary,50,379
42,secondary,283,761
30,tertiary,0,232
28,tertiary,2938,184
46,secondary,1287,229
28,tertiary,1773,275
38,secondary,532,95
39,secondary,1508,281
40,secondary,755,145
40,secondary,2279,104
35,tertiary,505,142
36,tertiary,328,136
47,secondary,4101,105
30,secondary,3259,495
38,tertiary,1690,160
26,tertiary,14004,167
31,secondary,79,235
25,secondary,-247,633
54,tertiary,707,272
46,unknown,55,55
47,tertiary,4386,43
50,secondary,778,16
46,primary,2427,40
39,secondary,94,87
53,secondary,84,336
53,tertiary,2353,471
52,secondary,1027,59
55,primary,159,184
46,secondary,739,250
25,tertiary,937,115
47,tertiary,1115,18
34,tertiary,1972,61
29,secondary,721,644
31,secondary,0,36
34,secondary,152,112
25,tertiary,148,421
26,tertiary,14054,178
28,tertiary,-56,884
56,primary,187,156
36,tertiary,62,66
27,secondary,487,319
48,secondary,480,371
31,secondary,33,194
43,primary,94,35
42,tertiary,-426,160
39,secondary,511,148
28,secondary,-337,284
46,tertiary,91,182
38,tertiary,23,194
44,secondary,23,56
35,secondary,329,375
56,primary,173,31
49,secondary,3286,73
44,primary,26,952
31,secondary,0,111
27,primary,0,213
28,secondary,423,245
34,secondary,672,158
60,primary,566,423
31,secondary,5248,368
27,secondary,197,222
30,secondary,0,40
41,tertiary,0,122
35,secondary,-225,183
30,secondary,163,123
38,primary,-1038,222
54,primary,1319,70
26,secondary,8,95
25,secondary,789,202
38,secondary,0,157
36,tertiary,14930,190
28,tertiary,270,172
47,secondary,136,70
48,secondary,2739,173
27,tertiary,82,387
29,secondary,30,74
37,tertiary,0,155
28,secondary,525,81
28,secondary,371,159
28,tertiary,-123,690
38,secondary,1,73
32,primary,103,312
43,secondary,1239,355
45,primary,308,191
32,secondary,126,538
42,secondary,-465,102
32,primary,33,118
60,primary,61,197
40,tertiary,294,97
33,secondary,44,529
25,tertiary,323,98
29,primary,417,108
25,secondary,-2,273
28,secondary,-403,140
41,tertiary,1355,179
27,primary,0,435
48,primary,-460,135
35,secondary,1345,135
25,secondary,99,207
49,tertiary,2806,366
49,secondary,2405,216
38,secondary,2299,240
26,tertiary,33,297
60,tertiary,0,151
30,secondary,521,76
54,secondary,0,117
52,secondary,638,213
57,tertiary,101,99
35,secondary,11,103
28,secondary,651,158
53,tertiary,267,90
32,secondary,131,1152
39,secondary,990,55
56,secondary,191,335
49,primary,90,126
57,tertiary,234,169
50,tertiary,1562,92
47,primary,0,203
40,secondary,111,134
59,tertiary,0,256
26,secondary,127,85
36,tertiary,73,172
48,primary,2805,212
39,secondary,6012,383
33,primary,4443,25
57,primary,65,588
52,secondary,3703,152
35,secondary,-550,874
51,primary,576,434
57,tertiary,246,322
26,secondary,658,34
29,unknown,163,586
42,secondary,1331,698
49,secondary,-142,73
43,tertiary,62,212
57,secondary,-868,186
55,tertiary,-458,1331
26,secondary,321,638
42,primary,1532,98
52,tertiary,659,517
32,secondary,0,271
32,secondary,476,956
30,tertiary,76,100
40,tertiary,2471,206
43,secondary,-465,166
53,secondary,2156,671
43,secondary,1387,296
47,secondary,1101,957
48,primary,329,85
43,secondary,743,323
55,secondary,1150,218
53,tertiary,1672,438
50,secondary,1130,119
57,tertiary,215,288
32,secondary,458,125
46,secondary,475,158
43,secondary,315,129
26,secondary,33,91
48,secondary,-470,544
48,secondary,291,448
42,secondary,0,168
37,secondary,581,203
27,tertiary,607,123
46,secondary,416,361
35,secondary,74,248
48,secondary,329,711
56,secondary,-229,55
50,tertiary,-168,1327
48,secondary,0,90
44,secondary,1106,239
56,tertiary,5,122
28,secondary,-221,1090
27,secondary,4848,82
34,tertiary,415,361
59,primary,509,67
32,secondary,799,2078
42,secondary,-470,185
28,tertiary,0,339
53,tertiary,6388,203
41,secondary,0,400
28,secondary,390,475
51,tertiary,0,58
56,secondary,-429,229
56,tertiary,94,530
44,tertiary,332,497
30,tertiary,536,81
58,unknown,5920,255
41,tertiary,846,206
51,tertiary,1463,185
36,tertiary,699,125
42,secondary,279,673
28,secondary,153,1124
27,secondary,-392,228
29,secondary,181,180
45,secondary,524,808
41,tertiary,1408,403
44,secondary,-18,510
39,secondary,694,413
27,secondary,0,198
31,secondary,378,421
48,tertiary,291,350
52,primary,0,322
44,secondary,8262,201
51,secondary,895,638
59,secondary,1449,437
40,secondary,61,68
54,secondary,299,147
60,secondary,591,248
30,secondary,151,108
32,secondary,1291,110
37,secondary,536,328
25,secondary,72,305
56,primary,0,293
51,secondary,0,68
47,secondary,1110,329
42,unknown,149,329
37,unknown,1958,609
56,primary,2399,652
36,secondary,212,1201
26,tertiary,2356,252
51,secondary,95,1309
33,secondary,844,476
31,secondary,1014,158
41,primary,4,74
53,tertiary,49,419
57,secondary,3382,165
37,tertiary,216,408
47,secondary,13,135
26,secondary,5829,41
49,secondary,3677,276
50,primary,14,83
28,secondary,-7,293
49,primary,-57,161
53,primary,8918,173
52,secondary,6,156
42,secondary,2646,280
33,tertiary,395,1359
56,secondary,527,122
59,secondary,135,416
51,secondary,52,36
28,secondary,3761,623
51,secondary,21,53
38,secondary,74,279
59,secondary,204,286
38,tertiary,0,532
33,tertiary,457,107
30,unknown,1712,933
39,tertiary,1087,85
49,primary,0,97
47,unknown,30,498
27,tertiary,1,171
32,tertiary,93,495
53,secondary,944,799
55,tertiary,36,111
26,secondary,831,84
35,tertiary,657,547
57,primary,94,103
31,secondary,1130,236
51,tertiary,22557,71
39,primary,163,192
28,secondary,1,50
56,unknown,0,54
30,tertiary,-3,57
57,secondary,204,70
35,tertiary,-290,265
26,secondary,242,117
40,secondary,471,430
29,tertiary,2485,48
48,secondary,93,537
30,primary,1380,259
34,tertiary,3282,143
47,tertiary,31,63
31,tertiary,241,241
34,tertiary,48,357
39,secondary,0,21
38,secondary,3091,13
45,primary,0,32
42,primary,206,148
35,secondary,0,262
29,secondary,768,119
40,tertiary,0,53
46,primary,0,92
42,secondary,0,226
27,tertiary,1501,187
47,secondary,232,208
57,primary,0,125
51,unknown,29,162
25,tertiary,137,281
40,secondary,0,139
37,secondary,0,101
60,secondary,12,205
43,tertiary,-183,65
45,secondary,1415,311
56,secondary,582,114
50,secondary,503,186
36,unknown,0,120
34,secondary,179,137
37,secondary,0,91
59,secondary,319,129
53,secondary,1065,211
53,tertiary,1102,78
56,tertiary,535,67
34,secondary,3,71
34,tertiary,0,174
34,tertiary,4,70
42,tertiary,-14,58
24,tertiary,-164,117
34,tertiary,693,130
29,secondary,544,97
34,tertiary,1,76
32,tertiary,2553,459
29,secondary,31,71
51,primary,43,212
28,secondary,158,77
43,unknown,0,380
38,tertiary,0,164
51,primary,603,853
37,primary,-204,467
26,secondary,8,46
41,secondary,663,1204
40,tertiary,416,55
40,secondary,1614,338
51,secondary,53,192
41,secondary,0,168
44,secondary,0,157
49,secondary,10350,346
59,secondary,163,464
33,secondary,192,255
40,primary,0,313
38,primary,-129,138
45,secondary,138,279
56,tertiary,1654,335
53,secondary,24,209
51,secondary,-238,63
25,secondary,945,561
41,tertiary,0,197
39,primary,85,329
50,primary,1327,325
26,secondary,1,70
41,secondary,2661,258
32,tertiary,887,53
45,unknown,293,196
29,tertiary,444,54
50,primary,27,142
45,tertiary,0,523
31,primary,-184,326
38,tertiary,-255,63
47,primary,0,193
33,tertiary,4,604
45,tertiary,1867,144
34,tertiary,2656,302
30,secondary,13,205
44,primary,0,184
31,secondary,0,137
57,tertiary,1741,449
46,secondary,310,58
32,tertiary,0,184
55,secondary,-268,1417
38,secondary,593,1484
30,secondary,79,169
28,secondary,204,38
31,tertiary,1224,1441
28,secondary,2,454
31,secondary,296,171
51,primary,56,149
51,secondary,794,747
53,tertiary,-252,223
48,secondary,0,154
34,tertiary,0,60
34,tertiary,280,363
36,secondary,403,151
52,tertiary,0,335
28,tertiary,1,86
51,secondary,921,188
34,secondary,1234,185
45,primary,1670,171
27,secondary,162,203
56,primary,0,84
28,secondary,258,134
52,primary,117,164
35,secondary,218,128
34,primary,251,15
29,secondary,187,386
40,secondary,3131,401
35,tertiary,4,155
45,primary,0,137
32,tertiary,401,200
26,secondary,87,225
33,secondary,346,379
39,secondary,1086,92
35,tertiary,945,188
38,secondary,0,168
37,primary,0,305
28,tertiary,9664,497
41,secondary,720,651
31,secondary,-806,205
50,secondary,26,179
44,secondary,3348,504
49,secondary,93,212
29,tertiary,0,36
40,secondary,-345,39
37,secondary,133,576
49,secondary,86,92
51,primary,959,240
34,secondary,945,181
34,secondary,103,147
32,secondary,2502,604
52,secondary,3510,193
54,tertiary,0,140
35,secondary,1290,211
59,primary,867,120
29,tertiary,1022,408
31,tertiary,6525,169
33,tertiary,990,1491
28,secondary,1241,343
35,primary,3,90
49,secondary,27,63
35,secondary,1001,178
36,tertiary,124,308
47,tertiary,751,408
36,secondary,1281,119
47,unknown,751,99
30,secondary,-68,78
28,secondary,981,225
50,tertiary,1679,604
35,secondary,0,250
33,secondary,0,208
48,secondary,271,23
56,tertiary,1922,247
34,primary,176,78
45,tertiary,-577,204
39,unknown,0,90
34,tertiary,889,539
32,tertiary,597,869
29,secondary,428,273
37,secondary,352,107
26,secondary,1292,48
27,tertiary,2729,218
32,secondary,3717,91
43,secondary,0,229
33,tertiary,277,57
51,primary,33,624
45,secondary,2718,304
30,secondary,2702,129
38,secondary,69,915
25,secondary,1747,903
53,tertiary,602,58
43,secondary,0,122
43,primary,222,203
45,secondary,59,873
50,tertiary,201,248
33,secondary,930,149
57,primary,-64,147
26,secondary,-16,1036
25,secondary,4718,709
46,secondary,145,72
30,secondary,-985,28
36,unknown,-19,185
56,secondary,360,98
50,secondary,-701,148
47,unknown,2458,172
52,secondary,7,150
50,tertiary,5260,51
37,tertiary,7612,1206
30,tertiary,14,90
58,secondary,5567,1869
39,secondary,334,575
42,secondary,634,256
36,tertiary,268,823
39,tertiary,350,230
52,primary,134,81
37,secondary,-59,56
28,secondary,169,245
28,secondary,214,332
32,secondary,0,151
30,secondary,78,132
49,secondary,-39,147
43,secondary,5,953
59,tertiary,3331,43
29,secondary,223,1259
29,secondary,658,267
25,secondary,674,736
31,secondary,0,362
31,primary,33,901
32,primary,-156,129
46,primary,8873,314
30,primary,-224,79
47,secondary,506,134
42,tertiary,401,217
41,secondary,2717,559
31,tertiary,162,141
53,primary,2253,135
57,primary,6,126
60,secondary,0,101
38,tertiary,272,62
48,primary,595,464
40,tertiary,445,631
39,tertiary,63,203
31,secondary,12,306
33,tertiary,640,318
35,secondary,0,810
41,secondary,3096,273
33,tertiary,7,780
26,secondary,3382,844
61,secondary,291,286
34,secondary,347,947
37,secondary,3226,226
40,secondary,203,328
54,secondary,1335,448
40,primary,229,213
46,tertiary,-71,258
54,tertiary,1544,82
25,tertiary,30,254
57,tertiary,224,180
25,primary,669,367
51,tertiary,1565,870
43,primary,169,172
45,tertiary,1034,1820
45,secondary,757,144
53,tertiary,290,303
47,tertiary,1430,120
44,primary,658,236
42,secondary,0,149
39,unknown,434,553
35,primary,0,90
33,secondary,791,268
45,secondary,1103,828
27,secondary,471,136
30,tertiary,0,209
40,tertiary,191,806
57,secondary,0,725
26,secondary,199,139
28,secondary,340,821
54,tertiary,148,42
49,secondary,305,367
50,secondary,-54,513
37,primary,0,347
42,tertiary,2032,1173
41,secondary,100,153
43,secondary,34,96
39,secondary,-66,626
33,secondary,-122,123
35,tertiary,-880,77
49,tertiary,2555,263
37,tertiary,0,226
32,tertiary,62,577
59,secondary,0,393
32,secondary,4612,937
34,secondary,3990,633
37,tertiary,1514,568
47,secondary,2,237
45,secondary,434,180
29,primary,787,257
41,secondary,1838,242
48,secondary,2409,533
33,secondary,61,286
42,tertiary,-411,212
44,tertiary,0,81
26,secondary,415,92
25,secondary,1272,342
41,tertiary,0,552
52,secondary,121,241
25,secondary,0,458
28,tertiary,497,1602
49,primary,0,42
55,unknown,728,130
43,tertiary,38,197
34,tertiary,0,52
39,secondary,276,441
48,tertiary,64,263
55,tertiary,149,41
45,primary,25,115
59,secondary,402,69
50,tertiary,619,219
49,secondary,233,179
35,secondary,0,72
54,secondary,1371,1492
42,tertiary,20,64
34,tertiary,775,210
27,secondary,2074,203
28,secondary,15,133
49,secondary,165,682
56,tertiary,55,154
46,secondary,0,150
31,secondary,10,13
28,tertiary,1628,1422
38,secondary,311,114
47,tertiary,19,186
59,tertiary,2365,159
34,secondary,380,102
38,primary,21,65
32,secondary,-220,123
27,tertiary,372,728
33,secondary,310,43
36,secondary,14,320
56,unknown,353,171
51,tertiary,-15,212
30,tertiary,179,111
39,secondary,2,174
37,tertiary,2642,591
25,secondary,156,602
43,tertiary,11532,58
49,primary,566,979
27,secondary,0,190
39,primary,13930,337
28,secondary,799,295
53,primary,343,616
27,secondary,137,359
37,tertiary,4039,106
30,tertiary,5074,153
32,secondary,26,110
29,tertiary,-62,126
25,secondary,-282,198
35,secondary,2471,136
32,secondary,-49,173
35,secondary,11,294
50,secondary,556,305
32,tertiary,3107,310
26,secondary,941,784
51,primary,1080,110
27,primary,140,361
37,secondary,775,1000
34,secondary,1759,695
34,secondary,2,137
26,secondary,254,335
30,secondary,3,51
33,secondary,82,735
50,secondary,59,57
57,tertiary,1681,159
57,secondary,-525,337
38,primary,0,267
27,secondary,41,803
27,secondary,3485,282
25,secondary,368,168
46,tertiary,502,18
44,primary,237,54
30,tertiary,4696,172
34,unknown,568,256
39,secondary,355,132
30,secondary,297,218
31,secondary,-723,112
35,tertiary,1723,862
30,primary,3195,134
31,tertiary,430,137
29,tertiary,162,324
47,tertiary,-488,65
30,secondary,-635,250
53,tertiary,5261,1209
29,tertiary,5698,198
50,primary,-454,241
51,secondary,74,79
42,primary,5,112
35,tertiary,0,86
30,secondary,-280,246
32,tertiary,176,50
58,secondary,144,71
30,secondary,60,61
28,tertiary,1466,40
27,tertiary,1,73
42,tertiary,3841,720
26,tertiary,233,175
55,unknown,554,234
35,tertiary,48,226
45,tertiary,634,227
49,secondary,-54,214
36,tertiary,142,571
41,secondary,2959,110
25,secondary,59,246
33,primary,91,113
31,tertiary,10122,63
43,secondary,57,188
31,secondary,395,174
45,tertiary,766,59
45,secondary,79,98
41,secondary,0,286
54,primary,95,302
34,secondary,765,238
25,secondary,2,102
46,unknown,0,49
36,secondary,191,18
47,primary,830,795
51,primary,1495,1946
38,secondary,294,172
40,secondary,0,560
53,secondary,1364,77
32,primary,380,48
59,primary,-182,153
29,primary,410,297
48,tertiary,103,135
48,secondary,622,95
53,secondary,559,182
35,primary,305,168
36,tertiary,147,1269
52,secondary,5423,102
58,secondary,992,46
34,secondary,675,81
39,tertiary,1492,1106
30,primary,-242,124
54,tertiary,2079,217
29,secondary,9,236
54,tertiary,3294,132
37,tertiary,287,94
47,secondary,-116,160
37,secondary,589,335
46,secondary,-220,203
42,secondary,0,184
47,primary,2793,102
32,secondary,1259,184
30,tertiary,71,800
40,secondary,0,96
27,secondary,139,165
36,secondary,1412,226
40,tertiary,205,357
33,secondary,-319,142
46,unknown,802,417
37,secondary,652,177
32,secondary,0,209
39,secondary,1444,362
25,secondary,0,49
52,secondary,473,135
32,secondary,2,132
30,tertiary,317,67
57,tertiary,4185,394
36,tertiary,612,153
34,secondary,318,239
25,secondary,1036,337
56,primary,871,149
54,secondary,209,97
59,secondary,5706,471
48,tertiary,4006,51
39,tertiary,1555,796
55,primary,2490,106
43,secondary,1343,211
39,secondary,-709,311
47,secondary,4397,110
57,secondary,262,276
39,secondary,42,120
43,secondary,1424,39
46,primary,860,80
44,secondary,483,87
32,tertiary,1,449
30,secondary,191,66
31,secondary,-535,163
36,secondary,-194,83
33,secondary,0,511
33,secondary,-300,184
47,tertiary,7,102
28,tertiary,231,568
34,tertiary,1116,53
35,tertiary,470,743
26,secondary,0,129
49,secondary,183,206
51,primary,1162,2015
29,secondary,-251,98
57,secondary,23,330
27,secondary,1359,199
54,secondary,1331,657
27,secondary,0,261
37,unknown,334,442
30,secondary,1625,90
29,secondary,158,241
34,primary,654,152
26,tertiary,144,730
40,secondary,60,36
54,primary,3304,90
28,secondary,633,95
40,tertiary,-7,697
36,tertiary,1988,102
33,secondary,0,374
59,secondary,377,468
34,secondary,0,141
53,primary,759,702
55,secondary,2387,155
51,tertiary,323,356
30,secondary,1626,566
57,tertiary,909,147
51,tertiary,656,268
51,secondary,2156,84
35,secondary,786,322
42,secondary,108,360
39,secondary,2903,259
30,tertiary,2,1031
59,primary,0,1368
25,secondary,-102,466
51,secondary,18,363
31,secondary,-21,507
41,secondary,1672,148
31,tertiary,0,266
27,tertiary,159,295
27,secondary,5505,134
52,secondary,2455,289
38,secondary,689,270
30,tertiary,33,396
44,tertiary,3432,72
32,secondary,4069,273
44,tertiary,233,161
41,secondary,113,92
34,secondary,1301,124
36,secondary,475,141
44,secondary,111,356
30,primary,-68,394
32,primary,104,211
31,secondary,0,293
32,secondary,441,135
42,primary,1628,590
50,secondary,797,72
56,tertiary,6475,200
42,primary,1523,587
54,secondary,1134,1330
28,secondary,265,194
49,primary,1644,238
41,primary,1018,171
25,secondary,-23,936
41,unknown,0,210
32,secondary,0,83
51,primary,0,946
36,tertiary,909,250
32,secondary,194,150
27,secondary,15,67
27,secondary,158,124
49,secondary,560,85
42,secondary,284,1173
40,secondary,274,53
46,primary,-160,93
45,primary,92,99
57,primary,63,1448
31,primary,3,143
28,secondary,7,50
36,secondary,670,126
45,secondary,88,87
36,primary,345,400
30,tertiary,1221,279
34,secondary,-603,164
33,tertiary,980,170
32,secondary,252,148
28,secondary,230,118
37,secondary,5024,661
46,primary,312,137
30,secondary,2371,237
58,primary,999,188
58,tertiary,0,138
49,secondary,1147,96
46,primary,-271,65
33,secondary,-74,198
37,tertiary,-70,386
38,primary,0,163
44,tertiary,446,63
34,secondary,-200,248
37,secondary,236,438
40,tertiary,96,188
28,secondary,649,481
39,secondary,10685,1369
35,tertiary,1629,653
38,primary,406,460
41,secondary,1915,245
27,secondary,-646,135
35,tertiary,972,23
26,primary,133,57
60,secondary,90,41
58,secondary,2,282
31,tertiary,1215,80
26,primary,2,22
30,secondary,704,524
31,tertiary,1767,395
27,tertiary,9630,190
33,secondary,-77,151
45,secondary,586,32
44,secondary,908,102
30,secondary,363,171
31,tertiary,5156,147
36,tertiary,58,29
55,secondary,496,93
45,primary,888,63
58,primary,282,40
30,tertiary,190,33
34,tertiary,2047,57
35,tertiary,670,177
31,tertiary,949,52
26,primary,40,49
31,tertiary,19,243
51,secondary,-2082,123
29,tertiary,2063,44
52,tertiary,4,30
56,secondary,4063,31
40,tertiary,0,52
39,tertiary,26,110
56,tertiary,-1493,119
38,primary,0,33
35,secondary,-16,108
37,tertiary,0,62
47,primary,0,327
58,secondary,-147,95
60,secondary,74,29
37,secondary,965,119
57,secondary,0,261
27,secondary,0,334
42,secondary,-128,180
32,secondary,0,36
39,tertiary,168,56
53,primary,-166,70
33,tertiary,349,62
42,primary,7041,386
34,secondary,215,56
48,secondary,268,458
25,secondary,616,117
49,secondary,220,93
55,secondary,814,69
28,tertiary,84,48
45,tertiary,1506,365
30,primary,997,76
46,secondary,53,31
27,secondary,0,55
25,tertiary,155,193
30,tertiary,1235,104
31,tertiary,0,664
50,secondary,0,88
25,tertiary,-380,108
59,primary,0,20
36,secondary,-90,110
33,tertiary,114,57
28,secondary,1136,89
44,primary,-92,526
31,tertiary,0,117
35,secondary,5613,699
27,tertiary,72,131
44,secondary,0,463
52,primary,4711,228
46,secondary,31,302
33,secondary,181,265
38,tertiary,465,30
37,unknown,242,124
34,secondary,79,219
43,secondary,1220,307
58,tertiary,331,82
32,tertiary,15561,151
52,tertiary,2428,61
43,secondary,-145,68
53,unknown,202,106
54,primary,38,115
38,secondary,0,121
48,secondary,513,939
39,tertiary,278,60
51,secondary,-206,51
42,unknown,345,307
33,tertiary,0,54
32,secondary,163,73
59,secondary,373,362
27,secondary,31,746
40,secondary,-496,22
43,secondary,-236,745
38,tertiary,8,219
36,secondary,1587,200
33,secondary,0,174
40,secondary,9,154
52,secondary,-12,136
60,secondary,2041,108
57,primary,592,87
29,secondary,166,108
39,secondary,293,148
28,secondary,181,139
48,secondary,759,84
56,secondary,1346,240
29,secondary,246,194
35,secondary,209,66
48,secondary,0,330
42,secondary,98,228
43,primary,-399,662
59,primary,0,40
28,tertiary,111,230
56,secondary,1026,173
38,secondary,1066,78
39,secondary,366,551
58,tertiary,794,130
34,secondary,1655,49
48,tertiary,147,295
50,secondary,724,139
